Track no,Slice no,X,Y,Distance,Velocity,Pixel Value
1,1,1923,1078,-1,-1,4142388
1,2,1920,1075,0.547,0.003,11047573
1,3,1920,1075,0,0,2958886
1,4,1920,1075,0,0,2633013
1,5,1920,1075,0,0,2766146
1,6,1944,1066,3.307,0.018,6062387
1,7,1935,1066,1.161,0.006,5855061
1,8,1935,1066,0,0,13092555
1,9,1935,1066,0,0,1777706
1,10,1935,1066,0,0,3226435
1,11,1935,1066,0,0,2111023
1,12,1956,1066,2.709,0.015,3027739
1,13,1950,1066,0.774,0.004,3816505
1,14,1950,1066,0,0,2239008
1,15,1950,1066,0,0,2767397
1,16,1953,1066,0.387,0.002,2901788
1,17,1968,1057,2.257,0.012,3814949
1,18,1968,1054,0.387,0.002,6512460
1,19,1971,1054,0.387,0.002,4998969
1,20,1971,1054,0,0,5328965
1,21,1971,1054,0,0,2173215
1,22,1971,1054,0,0,2307366
1,23,1971,1054,0,0,2573100
1,24,1971,1054,0,0,2573100
1,25,1977,1054,0.774,0.004,5069904
1,26,1990,1054,1.677,0.009,5924949
1,27,1990,1054,0,0,5794129
1,28,1990,1054,0,0,1192192
1,29,1990,1054,0,0,732160
1,30,2002,1054,1.548,0.008,4017214
1,31,2002,1054,0,0,5333074
1,32,2002,1054,0,0,4479800
1,33,2002,1054,0,0,3889448
1,34,2005,1054,0.387,0.002,2508049
1,35,2017,1054,1.548,0.008,3754042
1,36,2017,1054,0,0,5463909
1,37,2017,1054,0,0,4474423
1,38,2017,1054,0,0,1846595
1,39,2035,1048,2.448,0.013,4474423
1,40,2032,1051,0.547,0.003,4474423
1,41,2032,1051,0,0,4474423
1,42,2032,1051,0,0,4803388
1,43,2044,1051,1.548,0.008,7575892
1,44,2041,1051,0.387,0.002,5132353
1,45,2044,1051,0.387,0.002,4671802
1,46,2044,1051,0,0,4277556
1,47,2051,1060,1.471,0.008,4344634
1,48,2051,1060,0,0,4016439
1,49,2051,1060,0,0,4014122
1,50,2051,1060,0,0,3490356
1,51,2051,1060,0,0,4412495
1,52,2054,1060,0.387,0.002,4344634
1,53,2060,1060,0.774,0.004,3883050
1,54,2063,1060,0.387,0.002,3817257
1,55,2063,1060,0,0,2765339
1,56,2063,1060,0,0,3884333
1,57,2066,1063,0.547,0.003,3882536
1,58,2063,1063,0.387,0.002,1252613
1,59,2060,1066,0.547,0.003,4541752
1,60,2060,1066,0,0,5200711
1,61,2060,1066,0,0,4676398
1,62,2060,1066,0,0,3623458
1,63,2060,1069,0.387,0.002,5136697
1,64,2060,1069,0,0,4544560
1,65,2060,1069,0,0,4281388
1,66,2060,1069,0,0,3820837
1,67,2060,1069,0,0,3557415
1,68,2060,1069,0,0,4215345
1,69,2060,1069,0,0,4215095
1,70,2066,1081,1.731,0.009,2767901
1,71,2066,1081,0,0,2110487
1,72,2066,1081,0,0,2110487
1,73,2066,1081,0,0,4542513
1,74,2066,1081,0,0,4542513
1,75,2066,1081,0,0,4542513
1,76,2069,1081,0.387,0.002,4542513
1,77,2069,1084,0.387,0.002,4410927
1,78,2069,1084,0,0,3621411
1,79,2069,1084,0,0,3621411
1,80,2069,1084,0,0,3687204
1,81,2069,1084,0,0,4476720
1,82,2069,1084,0,0,4476720
1,83,2054,1075,2.257,0.012,7768950
1,84,2060,1078,0.865,0.005,3621411
1,85,2060,1078,0,0,3226653
1,86,2060,1078,0,0,3292446
1,87,2044,1081,2.1,0.011,1651234
1,88,2044,1078,0.387,0.002,6189918
1,89,2044,1078,0,0,7569763
1,90,2044,1078,0,0,7832163
1,91,2044,1078,0,0,7897956
1,92,2044,1078,0,0,6450510
1,93,2044,1078,0,0,5332029
1,94,2044,1078,0,0,4871478
1,95,2048,1078,0.516,0.003,2569745
1,96,2048,1078,0,0,2569745
1,97,2048,1078,0,0,7374413
1,98,2038,1075,1.347,0.007,6317891
1,99,2038,1075,0,0,4608295
1,100,2038,1075,0,0,3095058
1,101,2038,1075,0,0,2239749
1,102,2038,1075,0,0,3292437
1,103,2038,1075,0,0,5003053
1,104,2038,1075,0,0,4608808
1,105,2023,1075,1.935,0.01,7242595
1,106,2023,1075,0,0,8031593
1,107,2026,1075,0.387,0.002,7306839
1,108,2026,1075,0,0,6319174
1,109,2026,1075,0,0,6062403
1,110,2026,1075,0,0,6062403
1,111,2026,1075,0,0,6062403
1,112,2026,1075,0,0,5075508
1,113,2026,1075,0,0,5075508
1,114,2026,1075,0,0,4614957
