Track no,Slice no,X,Y,Distance,Velocity,Pixel Value
1,1,1956,1115,-1,-1,7695462
1,2,1959,1109,0.865,0.003,3617318
1,3,1959,1109,0,0,3551525
1,4,1956,1109,0.387,0.002,5195578
1,5,1956,1112,0.387,0.002,5063994
1,6,1959,1112,0.387,0.002,3419685
1,7,1959,1103,1.161,0.005,4800822
1,8,1959,1109,0.774,0.003,3222560
1,9,1959,1109,0,0,4011306
1,10,1959,1109,0,0,3617318
1,11,1959,1109,0,0,4670006
1,12,1959,1109,0,0,4735797
1,13,1959,1109,0,0,4275248
1,14,1959,1109,0,0,4275248
1,15,1959,1109,0,0,4275248
1,16,1959,1109,0,0,4275248
1,17,1959,1109,0,0,4275248
1,18,1959,1109,0,0,4275248
1,19,1959,1109,0,0,4275248
1,20,1962,1118,1.224,0.005,3354146
1,21,1962,1118,0,0,3354146
1,22,1962,1118,0,0,3683111
1,23,1962,1118,0,0,3683111
1,24,1962,1118,0,0,3683111
1,25,1962,1118,0,0,4014122
1,26,1962,1118,0,0,4014122
1,27,1962,1118,0,0,4014122
1,28,1962,1118,0,0,4014122
1,29,1962,1118,0,0,4014122
1,30,1962,1118,0,0,4014122
1,31,1962,1118,0,0,4014122
1,32,1962,1118,0,0,4014120
1,33,1962,1118,0,0,3816741
1,34,1962,1118,0,0,3816741
1,35,1962,1118,0,0,3816741
1,36,1962,1118,0,0,3816741
1,37,1962,1118,0,0,3227407
1,38,1962,1118,0,0,4148509
1,39,1977,1127,2.257,0.009,4275748
1,40,1977,1127,0,0,4275748
1,41,1977,1127,0,0,4275748
1,42,1971,1130,0.865,0.003,4801840
1,43,1971,1130,0,0,4670256
1,44,1971,1130,0,0,4472877
1,45,1968,1139,1.224,0.005,4406062
1,46,1965,1130,1.224,0.005,4077867
1,47,1965,1130,0,0,4077867
1,48,1965,1130,0,0,4077867
1,49,1965,1130,0,0,3227157
1,50,1965,1130,0,0,3227157
1,51,1965,1130,0,0,3227157
1,52,1965,1130,0,0,3227157
1,53,1968,1142,1.596,0.006,5657651
1,54,1968,1142,0,0,5524793
1,55,1968,1142,0,0,5657662
1,56,1968,1142,0,0,3749665
1,57,1971,1148,0.865,0.003,4604965
