Track no,Slice no,X,Y,Distance,Velocity,Pixel Value
1,1,2037,819,-1,-1,5196098
1,2,2028,816,1.224,0.008,4933941
1,3,2043,810,2.084,0.013,2898460
1,4,2037,810,0.774,0.005,4735545
1,5,2037,810,0,0,2497813
1,6,2037,810,0,0,3024157
1,7,2037,810,0,0,2826778
1,8,2037,810,0,0,2827548
1,9,2037,810,0,0,3551271
1,10,2037,810,0,0,3617831
1,11,2037,810,0,0,3946794
1,12,2037,810,0,0,4539185
1,13,2037,810,0,0,5263424
1,14,2037,810,0,0,5395010
1,15,2037,810,0,0,4802873
1,16,2052,807,1.973,0.012,3621933
1,17,2049,807,0.387,0.002,4144943
1,18,2049,807,0,0,4144943
1,19,2049,807,0,0,4144943
1,20,2049,807,0,0,4867896
1,21,2049,798,1.161,0.007,2763290
1,22,2055,798,0.774,0.005,3751212
1,23,2055,798,0,0,3487526
1,24,2055,798,0,0,3882284
1,25,2055,798,0,0,4014916
1,26,2070,795,1.973,0.012,8496203
1,27,2061,795,1.161,0.007,3686200
1,28,2049,795,1.548,0.01,6913612
1,29,2061,792,1.596,0.01,3686454
1,30,2061,792,0,0,3686454
1,31,2061,789,0.387,0.002,6055250
1,32,2061,786,0.387,0.002,5660742
1,33,2061,786,0,0,5265986
1,34,2061,786,0,0,6844266
1,35,2073,783,1.596,0.01,4674871
1,36,2073,783,0,0,3621161
1,37,2073,786,0.387,0.002,10135672
1,38,2073,786,0,0,10135672
1,39,2073,786,0,0,11517325
1,40,2073,786,0,0,8819812
1,41,2073,774,1.548,0.01,4742193
1,42,2073,774,0,0,5334076
1,43,2073,774,0,0,6518352
1,44,2073,774,0,0,6847317
1,45,2073,774,0,0,7438938
1,46,2073,774,0,0,8293988
1,47,2073,774,0,0,7766874
1,48,2073,774,0,0,7372114
1,49,2073,774,0,0,8686429
1,50,2073,774,0,0,8686429
1,51,2073,774,0,0,11383942
1,52,2079,771,0.865,0.005,4936228
1,53,2079,771,0,0,4344091
1,54,2085,765,1.095,0.007,2637317
1,55,2085,765,0,0,2636803
