Track no,Slice no,X,Y,Distance,Velocity,Pixel Value
1,1,1889,941,-1,-1,2302739
1,2,1889,947,0.774,0.003,3489312
1,3,1889,947,0,0,2302223
1,4,1889,956,1.161,0.005,2765839
1,5,1889,956,0,0,3091735
1,6,1880,972,2.368,0.01,5662250
1,7,1886,975,0.865,0.004,7569482
1,8,1889,975,0.387,0.002,5396277
1,9,1883,987,1.731,0.007,6846522
1,10,1883,987,0,0,4147244
1,11,1892,993,1.395,0.006,9018447
1,12,1892,993,0,0,9872739
1,13,1886,999,1.095,0.005,4279332
1,14,1886,996,0.387,0.002,593666
1,15,1883,1005,1.224,0.005,3818781
1,16,1883,1002,0.387,0.002,658944
1,17,1892,1002,1.161,0.005,8426576
1,18,1889,1014,1.596,0.007,7372870
1,19,1889,1011,0.387,0.002,2701065
1,20,1886,1017,0.865,0.004,1646860
1,21,1886,1027,1.29,0.005,7767113
1,22,1886,1027,0,0,5069098
1,23,1886,1027,0,0,1976075
1,24,1886,1027,0,0,1448711
1,25,1886,1027,0,0,2108676
1,26,1886,1027,0,0,2897429
1,27,1889,1039,1.596,0.007,4147744
1,28,1889,1039,0,0,3950365
1,29,1889,1039,0,0,4542502
1,30,1889,1039,0,0,2042881
1,31,1889,1039,0,0,1911296
1,32,1889,1039,0,0,1911296
1,33,1889,1039,0,0,1911297
1,34,1889,1039,0,0,1911297
1,35,1889,1039,0,0,1911297
1,36,1889,1039,0,0,1911297
1,37,1889,1039,0,0,2565673
1,38,1889,1039,0,0,2172952
1,39,1898,1045,1.395,0.006,9016691
1,40,1898,1045,0,0,8227175
1,41,1898,1045,0,0,8621933
1,42,1898,1045,0,0,7964003
1,43,1898,1045,0,0,7964003
1,44,1898,1045,0,0,7964003
1,45,1898,1045,0,0,7964003
1,46,1898,1045,0,0,6516557
1,47,1898,1045,0,0,6516557
1,48,1898,1045,0,0,6516557
1,49,1898,1045,0,0,6582350
1,50,1898,1045,0,0,5858627
1,51,1898,1045,0,0,5464119
1,52,1898,1045,0,0,5464119
1,53,1898,1045,0,0,5464119
1,54,1898,1045,0,0,5464119
1,55,1898,1045,0,0,5464119
1,56,1898,1045,0,0,5464119
1,57,1898,1045,0,0,5464119
1,58,1898,1045,0,0,5793334
1,59,1898,1045,0,0,4082716
1,60,1898,1045,0,0,5464369
1,61,1895,1042,0.547,0.002,3029276
1,62,1895,1042,0,0,3226905
1,63,1895,1042,0,0,3226905
1,64,1898,1042,0.387,0.002,3753499
1,65,1898,1042,0,0,3753499
1,66,1898,1042,0,0,4082714
1,67,1898,1042,0,0,3688208
1,68,1898,1042,0,0,3754251
1,69,1898,1042,0,0,4807189
1,70,1898,1042,0,0,4807189
1,71,1898,1042,0,0,5596957
1,72,1898,1042,0,0,5596957
1,73,1898,1042,0,0,5663004
1,74,1898,1042,0,0,5663004
1,75,1898,1042,0,0,5860383
1,76,1898,1042,0,0,6781485
1,77,1901,1042,0.387,0.002,8163138
1,78,1901,1042,0,0,8623689
1,79,1901,1042,0,0,8557896
1,80,1901,1042,0,0,8557896
1,81,1901,1042,0,0,8557896
1,82,1901,1042,0,0,8557896
1,83,1901,1042,0,0,8557896
1,84,1901,1042,0,0,8557896
1,85,1901,1042,0,0,8557896
1,86,1895,1030,1.731,0.007,2435844
1,87,1904,1030,1.161,0.005,5332772
1,88,1904,1030,0,0,5199912
1,89,1904,1030,0,0,5725746
1,90,1904,1030,0,0,5725746
1,91,1904,1030,0,0,5725746
1,92,1904,1030,0,0,7041352
1,93,1904,1030,0,0,7041354
1,94,1904,1030,0,0,7041354
1,95,1904,1030,0,0,7041354
1,96,1904,1030,0,0,7041354
1,97,1904,1030,0,0,6518313
1,98,1904,1030,0,0,6518313
1,99,1904,1030,0,0,6518313
1,100,1904,1030,0,0,6518313
1,101,1904,1030,0,0,6518313
1,102,1904,1030,0,0,6518313
1,103,1904,1030,0,0,6518313
1,104,1904,1030,0,0,6518313
1,105,1904,1030,0,0,6518313
1,106,1904,1030,0,0,7307829
1,107,1904,1030,0,0,7307829
1,108,1907,1030,0.387,0.002,9544791
1,109,1907,1030,0,0,7768380
1,110,1907,1030,0,0,7768380
1,111,1907,1030,0,0,7702587
1,112,1907,1030,0,0,7702587
1,113,1907,1030,0,0,7702587
1,114,1907,1030,0,0,7702587
1,115,1907,1030,0,0,7702587
1,116,1907,1030,0,0,7242036
1,117,1907,1030,0,0,7242036
1,118,1907,1030,0,0,7242036
1,119,1907,1030,0,0,8426310
1,120,1907,1030,0,0,8426310
1,121,1907,1030,0,0,8557896
1,122,1907,1030,0,0,8557896
1,123,1907,1030,0,0,8426310
1,124,1907,1030,0,0,8426310
1,125,1907,1030,0,0,8426310
1,126,1907,1030,0,0,8557896
1,127,1907,1030,0,0,8557896
1,128,1907,1030,0,0,8360517
1,129,1901,1027,0.865,0.004,5003818
1,130,1901,1027,0,0,5003818
1,131,1901,1027,0,0,5398826
1,132,1901,1027,0,0,5398826
1,133,1901,1027,0,0,3951630
1,134,1901,1027,0,0,3951630
1,135,1904,1027,0.387,0.002,8097595
1,136,1904,1027,0,0,8097595
1,137,1904,1027,0,0,8097595
1,138,1904,1027,0,0,8097595
1,139,1904,1027,0,0,7834423
1,140,1904,1027,0,0,7834423
1,141,1904,1027,0,0,7834423
1,142,1898,1020,1.189,0.005,3226126
1,143,1898,1020,0,0,3226126
1,144,1898,1020,0,0,3029767
