Track no,Slice no,X,Y,Distance,Velocity,Pixel Value
1,1,1902,1089,-1,-1,5458237
1,2,1902,1086,0.387,0.002,4274744
1,3,1902,1086,0,0,4276277
1,4,1902,1086,0,0,4736828
1,5,1902,1086,0,0,5657930
1,6,1902,1086,0,0,5526344
1,7,1902,1086,0,0,4736828
1,8,1905,1089,0.547,0.003,5791045
1,9,1893,1089,1.548,0.009,5138986
1,10,1899,1089,0.774,0.004,4342576
1,11,1899,1089,0,0,4342576
1,12,1899,1089,0,0,4474162
1,13,1899,1089,0,0,4216099
1,14,1899,1089,0,0,4216099
1,15,1899,1089,0,0,4216099
1,16,1899,1089,0,0,4738861
1,17,1899,1089,0,0,4738861
1,18,1899,1089,0,0,4738861
1,19,1899,1089,0,0,4934961
1,20,1899,1089,0,0,4934963
1,21,1899,1089,0,0,4934963
1,22,1899,1089,0,0,4934963
1,23,1899,1089,0,0,4934963
1,24,1899,1089,0,0,4869683
1,25,1899,1089,0,0,4215849
1,26,1899,1089,0,0,4215849
1,27,1902,1089,0.387,0.002,4215849
1,28,1902,1089,0,0,3228718
1,29,1902,1089,0,0,3689521
1,30,1902,1089,0,0,3293991
1,31,1902,1089,0,0,3293991
1,32,1902,1089,0,0,333568
1,33,1902,1089,0,0,464384
1,34,1902,1089,0,0,464384
1,35,1902,1089,0,0,529664
1,36,1902,1089,0,0,529664
1,37,1902,1089,0,0,0
1,38,1902,1089,0,0,0
1,39,1902,1089,0,0,265728
1,40,1902,1089,0,0,1384451
1,41,1902,1089,0,0,1384451
1,42,1902,1089,0,0,1779207
1,43,1893,1092,1.224,0.007,4344884
1,44,1893,1092,0,0,4344884
1,45,1893,1092,0,0,4213298
1,46,1893,1092,0,0,4213298
1,47,1893,1092,0,0,3884333
1,48,1893,1092,0,0,3686954
1,49,1893,1092,0,0,3355942
1,50,1899,1086,1.095,0.006,1913094
1,51,1896,1086,0.387,0.002,1913094
1,52,1896,1086,0,0,1913094
1,53,1896,1086,0,0,1913094
1,54,1896,1086,0,0,1584129
1,55,1896,1086,0,0,2044680
1,56,1896,1086,0,0,2044680
1,57,1896,1086,0,0,2044680
1,58,1896,1086,0,0,2044680
1,59,1896,1086,0,0,2175498
1,60,1896,1086,0,0,1910043
1,61,1896,1086,0,0,2899485
1,62,1896,1086,0,0,3226403
1,63,1896,1086,0,0,3226403
1,64,1896,1086,0,0,3226403
1,65,1896,1086,0,0,3095585
1,66,1887,1098,1.935,0.011,5068092
1,67,1887,1098,0,0,5068092
1,68,1887,1098,0,0,5068092
1,69,1887,1098,0,0,5068092
1,70,1887,1098,0,0,5198912
1,71,1887,1098,0,0,4671563
1,72,1887,1098,0,0,4671563
1,73,1887,1098,0,0,4214595
1,74,1887,1098,0,0,4214595
1,75,1887,1098,0,0,4214595
1,76,1887,1098,0,0,4214595
1,77,1887,1098,0,0,4542531
1,78,1887,1098,0,0,4542531
1,79,1893,1095,0.865,0.005,5724490
1,80,1893,1095,0,0,5724490
1,81,1887,1095,0.774,0.004,4345152
1,82,1899,1095,1.548,0.009,4869181
1,83,1893,1095,0.774,0.004,5592904
1,84,1893,1095,0,0,5592904
1,85,1893,1095,0,0,4344884
1,86,1893,1095,0,0,4344884
1,87,1893,1095,0,0,4344884
1,88,1893,1095,0,0,5068607
1,89,1893,1095,0,0,5068607
1,90,1884,1095,1.161,0.006,4998985
1,91,1884,1095,0,0,4998985
1,92,1884,1095,0,0,4998985
1,93,1884,1095,0,0,4931904
1,94,1884,1095,0,0,4670267
1,95,1884,1095,0,0,4670267
1,96,1884,1095,0,0,4604474
1,97,1884,1095,0,0,5068857
1,98,1884,1095,0,0,5068857
1,99,1884,1095,0,0,5068857
1,100,1890,1095,0.774,0.004,5068607
1,101,1893,1095,0.387,0.002,6450260
1,102,1893,1095,0,0,6450260
1,103,1893,1095,0,0,6516053
1,104,1893,1098,0.387,0.002,5463365
1,105,1893,1098,0,0,5463365
1,106,1893,1098,0,0,5463365
1,107,1893,1098,0,0,5463365
1,108,1893,1098,0,0,5594951
1,109,1896,1092,0.865,0.005,4147255
1,110,1890,1095,0.865,0.005,1252363
1,111,1890,1095,0,0,1252363
1,112,1893,1098,0.547,0.003,5463115
1,113,1887,1095,0.865,0.005,1843747
1,114,1887,1098,0.387,0.002,4607053
1,115,1887,1098,0,0,4607053
1,116,1887,1098,0,0,4804683
1,117,1887,1098,0,0,4409923
1,118,1887,1101,0.387,0.002,4936267
1,119,1887,1101,0,0,4936267
1,120,1887,1101,0,0,5134148
1,121,1887,1101,0,0,5658947
1,122,1887,1101,0,0,5658947
1,123,1881,1098,0.865,0.005,4408880
1,124,1884,1098,0.387,0.002,4014122
1,125,1884,1098,0,0,4014122
1,126,1884,1098,0,0,4014122
1,127,1878,1098,0.774,0.004,5790533
1,128,1878,1098,0,0,5856326
1,129,1878,1098,0,0,5593154
1,130,1878,1098,0,0,5593154
1,131,1878,1098,0,0,5593154
1,132,1878,1098,0,0,5132603
1,133,1878,1098,0,0,3752997
1,134,1878,1098,0,0,3884583
1,135,1878,1098,0,0,3884583
1,136,1878,1098,0,0,4147755
1,137,1878,1098,0,0,4410927
1,138,1878,1098,0,0,4410927
1,139,1878,1098,0,0,4477744
1,140,1878,1098,0,0,4544814
1,141,1878,1098,0,0,4544814
1,142,1878,1098,0,0,4743726
1,143,1878,1098,0,0,4414761
1,144,1878,1104,0.774,0.004,2636817
1,145,1878,1104,0,0,994304
1,146,1878,1104,0,0,1257472
1,147,1878,1104,0,0,2374665
1,148,1878,1104,0,0,2901522
1,149,1878,1104,0,0,2901522
1,150,1878,1104,0,0,3099671
1,151,1878,1104,0,0,3889185
1,152,1887,1101,1.224,0.007,4480041
1,153,1887,1101,0,0,4480041
1,154,1887,1101,0,0,4480041
1,155,1887,1101,0,0,4480041
1,156,1887,1101,0,0,4480041
1,157,1890,1101,0.387,0.002,5198146
1,158,1893,1101,0.387,0.002,3816493
1,159,1893,1101,0,0,3816493
1,160,1881,1095,1.731,0.01,5468469
1,161,1884,1104,1.224,0.007,2639624
1,162,1887,1104,0.387,0.002,4679207
1,163,1887,1104,0,0,4679207
1,164,1887,1104,0,0,4679207
1,165,1887,1104,0,0,3955484
1,166,1887,1104,0,0,3955484
1,167,1887,1104,0,0,3100175
1,168,1887,1104,0,0,3231761
1,169,1887,1104,0,0,1194240
1,170,1887,1104,0,0,1194240
1,171,1887,1104,0,0,1194240
1,172,1887,1104,0,0,1260032
1,173,1887,1104,0,0,3431187
1,174,1890,1104,0.387,0.002,4869431
1,175,1890,1104,0,0,5132351
1,176,1893,1104,0.387,0.002,5132351
1,177,1893,1104,0,0,5724488
1,178,1893,1104,0,0,5724488
1,179,1893,1104,0,0,5724488
1,180,1893,1104,0,0,5921867
1,181,1893,1104,0,0,5002814
1,182,1890,1104,0.387,0.002,5002814
1,183,1890,1104,0,0,5002814
1,184,1890,1104,0,0,5002814
1,185,1890,1104,0,0,4807222
1,186,1890,1104,0,0,4807222
1,187,1890,1104,0,0,4807222
1,188,1890,1104,0,0,4807222
1,189,1890,1104,0,0,4807222
1,190,1893,1104,0.387,0.002,4872250
1,191,1893,1104,0,0,4872250
1,192,1893,1104,0,0,4872250
1,193,1893,1104,0,0,5463615
1,194,1893,1104,0,0,5463615
1,195,1893,1104,0,0,6055752
1,196,1893,1104,0,0,6055752
1,197,1893,1104,0,0,6055752
1,198,1893,1104,0,0,6122047
1,199,1893,1104,0,0,6056254
1,200,1893,1104,0,0,6056254
1,201,1893,1104,0,0,6056254
1,202,1893,1104,0,0,6056254
1,203,1893,1104,0,0,6056254
1,204,1893,1104,0,0,6056254
1,205,1893,1104,0,0,5464119
1,206,1887,1089,2.084,0.011,6585696
1,207,1887,1104,1.935,0.011,4942386
1,208,1887,1101,0.387,0.002,3822390
1,209,1887,1101,0,0,3822390
1,210,1887,1101,0,0,3954989
1,211,1893,1101,0.774,0.004,5659713
1,212,1893,1101,0,0,5659713
1,213,1893,1101,0,0,5659963
1,214,1893,1101,0,0,5659963
1,215,1893,1101,0,0,5659963
1,216,1893,1101,0,0,5659963
1,217,1893,1101,0,0,5790283
1,218,1893,1101,0,0,5790283
1,219,1893,1101,0,0,5790283
1,220,1893,1101,0,0,5790283
1,221,1893,1101,0,0,5790283
1,222,1893,1101,0,0,5790283
1,223,1893,1101,0,0,5790283
1,224,1893,1101,0,0,5790283
1,225,1893,1101,0,0,5790283
1,226,1893,1101,0,0,5790283
1,227,1893,1101,0,0,5790283
1,228,1893,1101,0,0,5592904
1,229,1893,1101,0,0,5329482
1,230,1893,1101,0,0,5329482
1,231,1893,1101,0,0,5329482
1,232,1893,1101,0,0,5329482
1,233,1893,1101,0,0,5329478
1,234,1893,1101,0,0,5264453
1,235,1893,1101,0,0,5330246
1,236,1893,1101,0,0,5330246
1,237,1893,1101,0,0,5330246
1,238,1893,1101,0,0,5330246
1,239,1893,1101,0,0,5330246
1,240,1893,1101,0,0,5330246
1,241,1893,1101,0,0,5329482
1,242,1893,1101,0,0,5329482
1,243,1893,1101,0,0,5329482
1,244,1893,1101,0,0,5329482
1,245,1893,1101,0,0,5329482
1,246,1893,1101,0,0,5329482
1,247,1893,1101,0,0,5329482
1,248,1893,1101,0,0,5329482
1,249,1893,1101,0,0,5329482
1,250,1893,1101,0,0,5329482
1,251,1887,1095,1.095,0.006,3621431
1,252,1887,1095,0,0,3883833
1,253,1887,1095,0,0,6058852
1,254,1887,1095,0,0,6058852
1,255,1887,1095,0,0,6190438
1,256,1887,1095,0,0,6190438
1,257,1887,1095,0,0,6256231
1,258,1887,1095,0,0,5920854
1,259,1887,1095,0,0,5920854
1,260,1887,1095,0,0,5920854
1,261,1887,1095,0,0,5197131
1,262,1887,1095,0,0,4212031
1,263,1887,1095,0,0,4212031
1,264,1890,1095,0.387,0.002,2764839
1,265,1890,1095,0,0,2171418
1,266,1890,1095,0,0,2171418
1,267,1890,1095,0,0,2171418
1,268,1890,1095,0,0,2171418
1,269,1890,1095,0,0,2171418
1,270,1890,1095,0,0,2171418
1,271,1890,1095,0,0,2171418
1,272,1890,1095,0,0,1974039
1,273,1890,1095,0,0,1973785
1,274,1890,1095,0,0,1973785
1,275,1890,1098,0.387,0.002,4869179
1,276,1890,1098,0,0,4869179
1,277,1890,1098,0,0,5329482
1,278,1890,1098,0,0,5329482
1,279,1890,1098,0,0,5329482
1,280,1890,1098,0,0,5329482
1,281,1890,1098,0,0,5329482
1,282,1890,1098,0,0,5329480
1,283,1890,1098,0,0,5329478
1,284,1890,1098,0,0,5329478
1,285,1893,1098,0.387,0.002,5329478
1,286,1896,1098,0.387,0.002,5592650
1,287,1887,1104,1.395,0.008,4477238
1,288,1887,1104,0,0,5593152
1,289,1887,1104,0,0,5339180
1,290,1887,1104,0,0,5339180
1,291,1887,1104,0,0,5334582
1,292,1887,1104,0,0,5334582
1,293,1887,1104,0,0,5068598
1,294,1887,1104,0,0,5068598
1,295,1887,1104,0,0,5068598
1,296,1887,1104,0,0,5068598
1,297,1887,1104,0,0,5068598
1,298,1890,1104,0.387,0.002,5330232
1,299,1890,1104,0,0,5329980
1,300,1890,1104,0,0,5329980
1,301,1890,1104,0,0,4869431
1,302,1890,1104,0,0,4869431
1,303,1890,1104,0,0,4869431
1,304,1890,1104,0,0,4869431
1,305,1890,1104,0,0,4869431
1,306,1890,1104,0,0,4869431
1,307,1890,1104,0,0,4869431
1,308,1890,1104,0,0,4343087
1,309,1890,1104,0,0,4803640
1,310,1890,1104,0,0,4803640
1,311,1890,1104,0,0,5461316
1,312,1890,1104,0,0,5724488
1,313,1890,1104,0,0,5330232
1,314,1890,1104,0,0,5330232
1,315,1890,1104,0,0,6579797
1,316,1890,1104,0,0,6250580
1,317,1890,1104,0,0,5987408
1,318,1890,1104,0,0,5987408
1,319,1890,1104,0,0,5790029
1,320,1890,1104,0,0,5790029
1,321,1890,1104,0,0,5395271
1,322,1890,1104,0,0,5329984
1,323,1890,1104,0,0,5329984
1,324,1890,1104,0,0,5329984
1,325,1890,1104,0,0,5463615
1,326,1890,1104,0,0,5463615
1,327,1884,1104,0.774,0.004,4806707
1,328,1884,1104,0,0,4806707
1,329,1884,1104,0,0,4806707
1,330,1884,1104,0,0,4806707
1,331,1884,1104,0,0,4937271
1,332,1884,1104,0,0,5331016
1,333,1884,1104,0,0,5331016
1,334,1884,1104,0,0,5331016
1,335,1884,1104,0,0,5331016
1,336,1884,1104,0,0,5331016
1,337,1884,1104,0,0,5003064
1,338,1884,1104,0,0,5003064
1,339,1884,1104,0,0,5003064
1,340,1884,1104,0,0,5003064
1,341,1884,1104,0,0,5003064
1,342,1878,1104,0.774,0.004,5463615
1,343,1881,1104,0.387,0.002,5003064
1,344,1881,1104,0,0,5003064
1,345,1881,1104,0,0,5003064
1,346,1881,1104,0,0,5003064
1,347,1881,1104,0,0,5003064
1,348,1881,1104,0,0,5003064
1,349,1881,1104,0,0,5003568
1,350,1881,1104,0,0,5003568
1,351,1881,1104,0,0,5003568
1,352,1881,1104,0,0,5003568
1,353,1881,1104,0,0,5003568
1,354,1881,1104,0,0,5003568
1,355,1881,1104,0,0,5003316
1,356,1881,1104,0,0,5266238
1,357,1881,1104,0,0,5266238
1,358,1881,1104,0,0,4542515
1,359,1881,1104,0,0,4673847
1,360,1881,1104,0,0,4608560
1,361,1881,1104,0,0,4676400
1,362,1881,1104,0,0,4676400
1,363,1881,1104,0,0,4676400
1,364,1884,1104,0.387,0.002,4676400
1,365,1887,1104,0.387,0.002,5136437
