file_name,start,stop
DJI_0001.MP4,00:01:00,00:05:00
DJI_0002.MP4,00:00:00,00:05:00
DJI_0003.MP4,00:00:00,00:04:13
DJI_0005.MP4,00:00:22,00:03:28
DJI_0006.MP4,00:00:00,00:00:54
DJI_0007.MP4,00:00:00,00:03:01
DJI_0008.MP4,00:00:00,00:01:15
DJI_0009.MP4,00:00:15,00:03:08
DJI_0010.MP4,00:00:00,00:03:40
DJI_0023.MP4,00:00:00,00:04:02
DJI_0024.MP4,00:00:06,00:00:32
DJI_0024.MP4,00:00:48,00:02:42
DJI_0047.MP4,00:01:30,00:04:58
DJI_0048.MP4,00:00:00,00:05:00
DJI_0049.MP4,00:00:00,00:00:26
DJI_0049.MP4,00:00:30,00:02:15
DJI_0053.MP4,00:00:00,00:00:37
DJI_0054.MP4,00:00:00,00:04:04
DJI_0055.MP4,00:00:20,00:01:10
DJI_0055.MP4,00:02:45,00:03:10
DJI_0056.MP4,00:00:00,00:05:00
DJI_0057.MP4,00:00:00,00:00:12
DJI_0058.MP4,00:00:00,00:04:02
