latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
55.940862,-4.406292,0.40,0.40,0.40,0.14,0.40,0.40,0.40,0.14,0,2021-05-02 11:19:33.069,2021-05-02 12:19:33.068,18,0,0,16.784,55.940862,-4.406294,0.00,0.00,-0.40,1.30,-1.50,60.00,0,1,0,98,100,-4312,3399,16784,2912.50,3,TakeOff,1,0,0,0,0,0,0,1619954373068,4223,4202,4185,4174,0,0,27,Litchi_4.18.0-g,CJTMAVIC,163DFAS001K45C,0VECFAK0072T52,0P2AFB353405ER,,0,0,0,-13.00,-15.00,600.00,0.00,0.00,605.00,11,4.00,4.00,1.45,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,2,0,,,,null,0.0,2.5,0
55.940861,-4.406292,0.50,0.50,0.40,0.15,0.50,0.50,0.40,0.15,98,2021-05-02 11:19:33.166,2021-05-02 12:19:33.166,18,0,0,16.784,55.940862,-4.406294,0.00,0.00,-0.40,1.40,-1.50,60.00,0,1,0,98,100,-4312,3399,16784,2912.50,3,TakeOff,1,0,0,0,0,0,0,1619954373166,4223,4202,4185,4174,0,0,27,,,,,,,0,0,0,-14.00,-15.00,600.00,0.00,0.00,605.00,11,5.00,4.00,1.52,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.5,0
55.940861,-4.406292,0.50,0.50,0.50,0.17,0.50,0.50,0.50,0.17,197,2021-05-02 11:19:33.265,2021-05-02 12:19:33.265,18,0,0,16.784,55.940862,-4.406294,0.00,0.00,-0.50,1.50,-1.50,60.00,0,1,0,98,100,-4312,3399,16784,2912.50,3,TakeOff,1,0,0,0,0,0,0,1619954373265,4223,4202,4185,4174,0,0,27,,,,,,,0,0,0,-15.00,-15.00,600.00,0.00,0.00,605.00,11,5.00,5.00,1.68,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.5,0
55.940861,-4.406292,0.50,0.60,0.50,0.17,0.50,0.50,0.50,0.17,288,2021-05-02 11:19:33.356,2021-05-02 12:19:33.356,18,0,0,16.784,55.940862,-4.406294,0.00,0.00,-0.50,1.80,-1.40,60.00,0,1,0,98,100,-4312,3399,16784,2912.50,3,TakeOff,1,0,0,0,0,0,0,1619954373356,4223,4202,4185,4174,0,0,27,,,,,,,0,0,0,-18.00,-14.00,600.00,0.00,0.00,604.00,11,5.00,5.00,1.75,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.5,0
55.940861,-4.406292,0.60,0.60,0.50,0.17,0.60,0.60,0.50,0.17,389,2021-05-02 11:19:33.457,2021-05-02 12:19:33.457,18,0,0,16.784,55.940862,-4.406294,0.00,0.00,-0.50,2.00,-1.30,60.00,0,1,0,98,100,-4312,3399,16784,2912.50,3,TakeOff,1,0,0,0,0,0,0,1619954373457,4223,4202,4185,4174,0,0,27,,,,,,,0,0,0,-20.00,-13.00,600.00,0.00,0.00,604.00,11,6.00,5.00,1.71,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.6,0
55.940861,-4.406292,0.60,0.70,0.50,0.17,0.60,0.60,0.50,0.17,489,2021-05-02 11:19:33.557,2021-05-02 12:19:33.557,18,0,0,16.784,55.940862,-4.406294,0.00,0.00,-0.50,2.00,-1.20,60.00,0,1,0,98,100,-4312,3399,16784,2912.50,3,TakeOff,1,0,0,0,0,0,0,1619954373557,4223,4202,4185,4174,0,0,27,,,,,,,0,0,0,-20.00,-12.00,600.00,0.00,0.00,604.00,11,6.00,5.00,1.75,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.6,0
55.940861,-4.406292,0.70,0.70,0.40,0.18,0.70,0.70,0.50,0.18,587,2021-05-02 11:19:33.655,2021-05-02 12:19:33.655,18,0,0,16.784,55.940862,-4.406294,0.00,0.00,-0.40,2.00,-0.90,60.00,0,1,0,98,100,-4312,3399,16784,2912.50,3,TakeOff,1,0,0,0,0,0,0,1619954373655,4223,4202,4185,4174,0,0,27,,,,,,,0,0,0,-20.00,-9.00,600.00,0.00,0.00,604.00,11,7.00,4.00,1.85,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,3.2,0
55.940861,-4.406292,0.70,0.80,0.40,0.19,0.70,0.70,0.50,0.19,686,2021-05-02 11:19:33.755,2021-05-02 12:19:33.754,18,0,0,16.784,55.940862,-4.406294,0.00,0.00,-0.40,2.00,-0.70,59.90,0,1,0,98,100,-4312,3399,16784,2912.50,3,TakeOff,1,0,0,0,0,0,0,1619954373754,4223,4202,4185,4174,0,0,27,,,,,,,0,0,0,-20.00,-7.00,599.00,0.00,0.00,604.00,11,7.00,4.00,1.88,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,3.2,0
55.940861,-4.406292,0.80,0.80,0.40,0.19,0.80,0.80,0.50,0.19,799,2021-05-02 11:19:33.867,2021-05-02 12:19:33.867,18,0,0,16.784,55.940862,-4.406294,0.00,0.00,-0.40,1.90,-0.70,60.00,0,1,0,98,100,-4312,3399,16784,2912.50,3,TakeOff,1,0,0,0,0,0,0,1619954373867,4223,4202,4185,4174,0,0,27,,,,,,,0,0,0,-19.00,-7.00,600.00,0.00,0.00,604.00,11,8.00,4.00,1.87,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.3,0
55.940861,-4.406292,0.80,0.90,0.40,0.19,0.80,0.80,0.50,0.19,888,2021-05-02 11:19:33.956,2021-05-02 12:19:33.956,18,0,0,16.784,55.940862,-4.406294,0.00,0.00,-0.40,2.00,-0.70,60.00,0,1,0,98,100,-4312,3399,16784,2912.50,3,TakeOff,1,0,0,0,0,0,0,1619954373956,4223,4202,4185,4174,0,0,27,,,,,,,0,0,0,-20.00,-7.00,600.00,0.00,0.00,604.00,11,8.00,4.00,1.91,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.3,0
