latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
55.935611,-4.404110,0.40,0.50,0.51,0.17,0.40,0.40,0.51,0.17,0,2021-04-11 15:27:53.167,2021-04-11 16:27:53.167,16,0,0,16.611,55.935610,-4.404112,0.00,0.10,-0.50,-1.30,-3.10,-47.40,0,1,0,91,100,-4746,3259,16611,2932.50,0,TakeOff,1,0,0,0,0,0,0,1618154873166,4143,4124,4136,4109,0,0,27,Litchi_4.18.0-g,CJTMAVIC,163DFAS001K45C,0VECFAK0072T52,0P2AFAL5340E87,,0,0,0,13.00,-31.00,-474.00,184.00,0.00,-478.00,11,4.00,5.10,1.68,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,null,0.0,7.8,0
55.935611,-4.404110,0.50,0.60,0.51,0.18,0.50,0.50,0.51,0.18,88,2021-04-11 15:27:53.254,2021-04-11 16:27:53.254,16,0,0,16.611,55.935610,-4.404112,0.00,0.10,-0.50,-2.50,-2.30,-47.30,0,1,0,91,100,-4746,3259,16611,2932.50,0,TakeOff,1,0,0,0,0,0,0,1618154873254,4143,4124,4136,4109,0,0,27,,,,,,,0,0,0,25.00,-23.00,-473.00,184.00,0.00,-478.00,11,5.00,5.10,1.77,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,7.8,0
55.935611,-4.404110,0.60,0.60,0.51,0.17,0.60,0.60,0.51,0.18,204,2021-04-11 15:27:53.370,2021-04-11 16:27:53.370,16,0,0,16.611,55.935610,-4.404112,0.00,0.10,-0.50,-3.20,-1.80,-47.20,0,1,0,91,100,-4746,3259,16611,2932.50,0,TakeOff,1,0,0,0,0,0,0,1618154873370,4143,4124,4136,4109,0,0,27,,,,,,,0,0,0,32.00,-18.00,-472.00,184.00,0.00,-478.00,11,6.00,5.10,1.65,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.4,0
55.935611,-4.404110,0.60,0.70,0.51,0.17,0.60,0.60,0.51,0.18,310,2021-04-11 15:27:53.476,2021-04-11 16:27:53.476,16,0,0,16.611,55.935610,-4.404112,0.00,0.10,-0.50,-3.30,-1.70,-47.20,0,1,0,91,100,-4746,3259,16611,2932.50,0,TakeOff,1,0,0,0,0,0,0,1618154873476,4143,4124,4136,4109,0,0,27,,,,,,,0,0,0,33.00,-17.00,-472.00,184.00,0.00,-478.00,11,6.00,5.10,1.75,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.4,0
55.935611,-4.404110,0.70,0.70,0.51,0.16,0.70,0.70,0.51,0.18,401,2021-04-11 15:27:53.567,2021-04-11 16:27:53.567,16,0,0,16.611,55.935610,-4.404112,0.00,0.10,-0.50,-3.20,-2.10,-47.30,0,1,0,91,100,-4746,3259,16611,2932.50,0,TakeOff,1,0,0,0,0,0,0,1618154873567,4143,4124,4136,4109,0,0,27,,,,,,,0,0,0,32.00,-21.00,-473.00,184.00,0.00,-478.00,11,7.00,5.10,1.59,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.9,0
55.935611,-4.404109,0.70,0.80,0.51,0.17,0.70,0.70,0.51,0.18,503,2021-04-11 15:27:53.669,2021-04-11 16:27:53.669,16,0,0,16.611,55.935610,-4.404112,0.00,0.10,-0.50,-3.20,-2.30,-47.30,0,1,0,91,100,-4746,3259,16611,2932.50,0,TakeOff,1,0,0,0,0,0,0,1618154873669,4143,4124,4136,4109,0,0,27,,,,,,,0,0,0,32.00,-23.00,-473.00,184.00,0.00,-478.00,11,7.00,5.10,1.69,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.9,0
55.935611,-4.404110,0.80,0.80,0.51,0.16,0.80,0.80,0.51,0.18,604,2021-04-11 15:27:53.770,2021-04-11 16:27:53.770,16,0,0,16.611,55.935610,-4.404112,0.00,0.10,-0.50,-3.50,-2.20,-47.30,0,1,0,91,100,-4746,3259,16611,2932.50,0,TakeOff,1,0,0,0,0,0,0,1618154873770,4143,4124,4136,4109,0,0,27,,,,,,,0,0,0,35.00,-22.00,-473.00,184.00,0.00,-478.00,11,8.00,5.10,1.59,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,13.5,0
55.935611,-4.404109,0.80,0.90,0.51,0.17,0.80,0.80,0.51,0.18,702,2021-04-11 15:27:53.868,2021-04-11 16:27:53.868,16,0,0,16.611,55.935610,-4.404112,0.00,0.10,-0.50,-3.60,-2.30,-47.20,0,1,0,91,100,-4746,3259,16611,2932.50,0,TakeOff,1,0,0,0,0,0,0,1618154873868,4143,4124,4136,4109,0,0,27,,,,,,,0,0,0,36.00,-23.00,-472.00,184.00,0.00,-478.00,11,8.00,5.10,1.65,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,13.5,0
55.935611,-4.404109,0.90,0.90,0.41,0.18,0.90,0.90,0.51,0.18,790,2021-04-11 15:27:53.956,2021-04-11 16:27:53.956,16,0,0,16.611,55.935610,-4.404112,0.00,0.10,-0.40,-3.70,-2.40,-47.30,0,1,0,91,100,-4746,3259,16611,2932.50,0,TakeOff,1,0,0,0,0,0,0,1618154873956,4143,4124,4136,4109,0,0,27,,,,,,,0,0,0,37.00,-24.00,-473.00,184.00,0.00,-478.00,11,9.00,4.12,1.75,0.00,1.00,-4.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,14.1,0
55.935611,-4.404109,0.90,1.00,0.41,0.18,0.90,0.90,0.51,0.18,903,2021-04-11 15:27:54.069,2021-04-11 16:27:54.069,16,0,0,16.611,55.935610,-4.404112,0.00,0.10,-0.40,-3.50,-2.50,-47.30,0,1,0,91,100,-4746,3259,16611,2932.50,0,TakeOff,1,0,0,0,0,0,0,1618154874069,4143,4124,4136,4109,0,0,27,,,,,,,0,0,0,35.00,-25.00,-473.00,184.00,0.00,-478.00,11,9.00,4.12,1.82,0.00,1.00,-4.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,14.1,0
