latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,rightAvoidDist,leftAvoidDist,upAvoidDist,downAvoidDist,isBrakingToAvoid
55.952635,-4.403313,0.20,0.30,0.33,0.34,0.20,0.20,0.33,0.34,0,2022-04-09 20:10:23.471,2022-04-09 21:10:23.470,16,0,0,17.011,55.952637,-4.403310,-0.10,-0.30,-0.10,2.40,-6.40,176.10,0,1,0,98,100,-1992,3256,17011,2948.50,7,P-GPS,1,0,0,0,161,0,0,1649535023470,4170,4138,4151,4167,0,0,27,Litchi_4.22.2-g,CJTMAVIC,163DFAS001K45C,0VECFAK0072T52,0P2AFAL5340E87,,0,0,0,-24.00,-64.00,1761.00,37.00,0.00,1778.00,6,2.00,3.32,3.36,-1.00,-3.00,-1.00,0,,,100,100,0,2,0,0,0,2,0,,,,null,0.0,4.0,0.0,0.0,0.0,0.0,0
55.952634,-4.403313,0.20,0.30,0.22,0.36,0.20,0.20,0.33,0.36,103,2022-04-09 20:10:23.573,2022-04-09 21:10:23.573,16,0,0,17.011,55.952637,-4.403310,0.00,-0.20,-0.10,1.40,-6.40,175.90,0,1,0,98,100,-1992,3256,17011,2948.50,7,P-GPS,1,0,0,0,174,0,0,1649535023573,4170,4138,4151,4167,0,0,27,,,,,,,0,0,0,-14.00,-64.00,1759.00,37.00,0.00,1778.00,6,2.00,2.24,3.60,0.00,-2.00,-1.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0
55.952634,-4.403313,0.30,0.40,0.22,0.39,0.30,0.30,0.33,0.39,200,2022-04-09 20:10:23.671,2022-04-09 21:10:23.670,16,0,0,17.011,55.952637,-4.403310,0.00,-0.20,-0.10,0.90,-5.90,176.10,0,1,0,98,100,-1992,3256,17011,2948.50,7,P-GPS,1,0,0,0,191,0,0,1649535023670,4170,4138,4151,4167,0,0,27,,,,,,,0,0,0,-9.00,-59.00,1761.00,37.00,0.00,1778.00,6,3.00,2.24,3.86,0.00,-2.00,-1.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0
55.952634,-4.403313,0.30,0.40,0.30,0.41,0.30,0.30,0.33,0.41,307,2022-04-09 20:10:23.777,2022-04-09 21:10:23.777,16,0,0,17.011,55.952637,-4.403310,-0.10,-0.20,-0.20,0.80,-5.30,176.10,0,1,0,98,100,-1992,3256,17011,2948.50,7,P-GPS,1,0,0,0,202,0,0,1649535023777,4170,4138,4151,4167,0,0,27,,,,,,,0,0,0,-8.00,-53.00,1761.00,37.00,0.00,1778.00,6,3.00,3.00,4.06,-1.00,-2.00,-2.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0
55.952634,-4.403314,0.30,0.40,0.30,0.43,0.30,0.30,0.33,0.43,396,2022-04-09 20:10:23.867,2022-04-09 21:10:23.866,16,0,0,17.011,55.952637,-4.403310,-0.10,-0.20,-0.20,2.10,-5.40,176.00,0,1,0,98,100,-1992,3256,17011,2948.50,7,P-GPS,1,0,0,0,208,0,0,1649535023866,4170,4138,4151,4167,0,0,27,,,,,,,0,0,0,-21.00,-54.00,1760.00,37.00,0.00,1778.00,6,3.00,3.00,4.27,-1.00,-2.00,-2.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0
55.952634,-4.403314,0.30,0.40,0.37,0.45,0.30,0.30,0.37,0.45,505,2022-04-09 20:10:23.975,2022-04-09 21:10:23.975,16,0,0,17.011,55.952637,-4.403310,-0.10,-0.20,-0.30,3.00,-5.20,175.90,0,1,0,98,100,-1992,3256,17011,2948.50,7,P-GPS,1,0,0,0,217,0,0,1649535023975,4170,4138,4151,4167,0,0,27,,,,,,,0,0,0,-30.00,-52.00,1759.00,37.00,0.00,1778.00,6,3.00,3.74,4.50,-1.00,-2.00,-3.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0
55.952634,-4.403314,0.40,0.50,0.36,0.47,0.40,0.40,0.37,0.47,601,2022-04-09 20:10:24.071,2022-04-09 21:10:24.071,16,0,0,16.352,55.952637,-4.403310,0.00,-0.20,-0.30,3.10,-5.50,176.00,0,1,0,98,100,-5629,3254,16352,2948.50,7,P-GPS,1,0,0,0,224,0,0,1649535024071,4170,4138,4151,4167,0,0,27,,,,,,,0,0,0,-31.00,-55.00,1760.00,37.00,0.00,1778.00,6,4.00,3.61,4.69,0.00,-2.00,-3.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0
55.952634,-4.403314,0.40,0.50,0.32,0.49,0.40,0.40,0.37,0.49,698,2022-04-09 20:10:24.169,2022-04-09 21:10:24.169,16,0,0,16.352,55.952637,-4.403310,0.00,-0.10,-0.30,2.70,-5.10,176.10,0,1,0,98,100,-5629,3254,16352,2948.50,7,P-GPS,1,0,0,0,230,0,0,1649535024168,4170,4138,4151,4167,0,0,27,,,,,,,0,0,0,-27.00,-51.00,1761.00,37.00,0.00,1778.00,6,4.00,3.16,4.85,0.00,-1.00,-3.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0
55.952634,-4.403315,0.40,0.60,0.32,0.49,0.40,0.40,0.37,0.49,806,2022-04-09 20:10:24.277,2022-04-09 21:10:24.276,16,0,0,16.352,55.952637,-4.403310,0.00,-0.10,-0.30,1.80,-4.90,176.20,0,1,0,98,100,-5629,3254,16352,2948.50,7,P-GPS,1,0,0,0,240,0,0,1649535024276,4170,4138,4151,4167,0,0,27,,,,,,,0,0,0,-18.00,-49.00,1762.00,37.00,0.00,1778.00,6,4.00,3.16,4.89,0.00,-1.00,-3.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0
55.952634,-4.403315,0.50,0.60,0.41,0.50,0.50,0.50,0.41,0.50,902,2022-04-09 20:10:24.373,2022-04-09 21:10:24.372,16,0,0,16.352,55.952637,-4.403310,0.00,-0.10,-0.40,1.10,-4.70,176.30,0,1,0,98,100,-5629,3254,16352,2948.50,7,P-GPS,1,0,0,0,242,0,0,1649535024372,4170,4138,4151,4167,0,0,27,,,,,,,0,0,0,-11.00,-47.00,1763.00,37.00,0.00,1778.00,6,5.00,4.12,5.01,0.00,-1.00,-4.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0
