latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,rightAvoidDist,leftAvoidDist,upAvoidDist,downAvoidDist,isBrakingToAvoid
55.953381,-4.402961,0.40,0.50,0.81,0.17,0.40,0.40,0.81,0.17,0,2022-09-24 11:16:40.741,2022-09-24 12:16:40.741,17,0,0,17.000,55.953382,-4.402960,-0.10,0.00,-0.80,1.60,0.90,-104.40,0,1,0,94,100,-1940,3086,17000,3014.50,12,P-GPS,1,0,0,0,487,0,0,1664018200741,4252,4243,4263,4263,0,0,27,Litchi_4.24.1-g,CJTMAVIC,163DFAS001K45C,0VECFAK0072T52,0P2AFAL5340E87,,0,0,0,-16.00,9.00,-1044.00,-1.00,0.00,-1044.00,6,4.00,8.06,1.68,-1.00,0.00,-8.00,0,,,100,100,0,2,0,0,0,2,0,,,,null,0.0,2.3,0.0,0.0,0.0,0.0,0
55.953381,-4.402961,0.50,0.60,1.00,0.15,0.50,0.50,1.00,0.17,102,2022-09-24 11:16:40.843,2022-09-24 12:16:40.843,17,0,0,17.000,55.953382,-4.402960,-0.10,0.00,-1.00,1.40,0.60,-104.60,0,1,0,94,100,-1940,3086,17000,3014.50,12,P-GPS,1,0,0,0,505,0,0,1664018200843,4252,4243,4263,4263,0,0,27,,,,,,,0,0,0,-14.00,6.00,-1046.00,-1.00,0.00,-1044.00,6,5.00,10.05,1.54,-1.00,0.00,-10.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.3,0.0,0.0,0.0,0.0,0
55.953381,-4.402961,0.60,0.70,1.30,0.16,0.60,0.60,1.30,0.17,203,2022-09-24 11:16:40.945,2022-09-24 12:16:40.944,17,0,0,17.000,55.953382,-4.402960,-0.10,0.00,-1.30,0.80,1.00,-104.80,0,1,0,94,100,-1940,3086,17000,3014.50,12,P-GPS,1,0,0,0,511,0,0,1664018200944,4252,4243,4263,4263,0,0,27,,,,,,,0,0,0,-8.00,10.00,-1048.00,-1.00,0.00,-1044.00,6,6.00,13.04,1.61,-1.00,0.00,-13.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.3,0.0,0.0,0.0,0.0,0
55.953381,-4.402960,0.80,0.80,1.70,0.20,0.80,0.80,1.70,0.20,300,2022-09-24 11:16:41.041,2022-09-24 12:16:41.041,17,0,0,17.000,55.953382,-4.402960,0.00,0.00,-1.70,0.60,1.80,-105.00,0,1,0,94,100,-1940,3086,17000,3014.50,12,P-GPS,1,0,0,0,518,0,0,1664018201041,4252,4243,4263,4263,0,0,27,,,,,,,0,0,0,-6.00,18.00,-1050.00,-1.00,0.00,-1044.00,6,8.00,17.00,1.97,0.00,0.00,-17.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.3,0.0,0.0,0.0,0.0,0
55.953380,-4.402960,0.90,1.00,2.00,0.21,0.90,0.90,2.00,0.21,398,2022-09-24 11:16:41.139,2022-09-24 12:16:41.139,17,0,0,16.450,55.953382,-4.402960,0.00,0.00,-2.00,1.00,2.00,-105.00,0,1,0,94,100,-6814,3085,16450,3014.50,12,P-GPS,1,0,0,0,518,0,0,1664018201139,4252,4243,4263,4263,0,0,27,,,,,,,0,0,0,-10.00,20.00,-1050.00,-1.00,0.00,-1044.00,6,9.00,20.00,2.07,0.00,0.00,-20.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.3,0.0,0.0,0.0,0.0,0
55.953381,-4.402960,1.20,1.20,2.20,0.19,1.20,1.20,2.20,0.21,502,2022-09-24 11:16:41.245,2022-09-24 12:16:41.243,17,0,0,16.450,55.953382,-4.402960,0.00,0.00,-2.20,0.50,2.40,-105.20,0,1,0,94,100,-6814,3085,16450,3014.50,12,P-GPS,1,0,0,0,518,0,0,1664018201243,4252,4243,4263,4263,0,0,27,,,,,,,0,0,0,-5.00,24.00,-1052.00,-1.00,0.00,-1044.00,6,12.00,22.00,1.95,0.00,0.00,-22.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.3,0.0,0.0,0.0,0.0,0
55.953381,-4.402960,1.40,1.50,2.40,0.20,1.40,1.40,2.40,0.21,600,2022-09-24 11:16:41.342,2022-09-24 12:16:41.341,17,0,0,16.450,55.953382,-4.402960,0.00,0.00,-2.40,0.70,1.60,-105.10,0,1,0,94,100,-6814,3085,16450,3014.50,12,P-GPS,1,0,0,0,524,0,0,1664018201341,4252,4243,4263,4263,0,0,27,,,,,,,0,0,0,-7.00,16.00,-1051.00,-1.00,0.00,-1044.00,6,14.00,24.00,1.97,0.00,0.00,-24.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.3,0.0,0.0,0.0,0.0,0
55.953381,-4.402960,1.60,1.70,2.50,0.20,1.60,1.60,2.50,0.21,699,2022-09-24 11:16:41.441,2022-09-24 12:16:41.441,17,0,0,16.450,55.953382,-4.402960,0.00,0.00,-2.50,1.50,0.70,-104.90,0,1,0,94,100,-6814,3085,16450,3014.50,12,P-GPS,1,0,0,0,541,0,0,1664018201440,4252,4243,4263,4263,0,0,27,,,,,,,0,0,0,-15.00,7.00,-1049.00,-1.00,0.00,-1044.00,6,16.00,25.00,2.00,0.00,0.00,-25.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.3,0.0,0.0,0.0,0.0,0
55.953381,-4.402960,1.90,2.00,2.50,0.20,1.90,1.90,2.50,0.21,798,2022-09-24 11:16:41.539,2022-09-24 12:16:41.539,17,0,0,16.450,55.953382,-4.402960,0.00,0.00,-2.50,2.00,-0.20,-104.70,0,1,0,94,100,-6814,3085,16450,3014.50,12,P-GPS,1,0,0,0,548,0,0,1664018201539,4252,4243,4263,4263,0,0,27,,,,,,,0,0,0,-20.00,-2.00,-1047.00,-1.00,0.00,-1044.00,6,19.00,25.00,2.00,0.00,0.00,-25.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.3,0.0,0.0,0.0,0.0,0
55.953380,-4.402960,2.20,2.20,2.60,0.21,2.20,2.20,2.60,0.21,898,2022-09-24 11:16:41.639,2022-09-24 12:16:41.639,17,0,0,16.450,55.953382,-4.402960,0.00,0.00,-2.60,1.90,0.00,-104.60,0,1,0,94,100,-6814,3085,16450,3014.50,12,P-GPS,1,0,38,10,548,0,0,1664018201639,4252,4243,4263,4263,0,0,27,,,,,,,0,0,0,-19.00,0.00,-1046.00,-1.00,0.00,-1044.00,6,22.00,26.00,2.11,0.00,0.00,-26.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,2.3,0.0,0.0,0.0,0.0,0
