latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
55.935590,-4.404097,0.50,0.60,0.51,0.29,0.50,0.50,0.51,0.29,0,2021-04-11 15:22:15.417,2021-04-11 16:22:15.417,13,0,0,16.553,55.935588,-4.404099,0.00,0.10,-0.50,-1.00,-2.10,-43.60,0,1,0,99,100,-4560,3564,16553,2880.50,0,TakeOff,1,0,0,0,0,0,0,1618154535417,4316,4310,4322,4311,0,0,27,Litchi_4.18.0-g,CJTMAVIC,163DFAS001K45C,0VECFAK0072T52,0P2AFAL5340E87,,0,0,0,10.00,-21.00,-436.00,0.00,0.00,-436.00,11,5.00,5.10,2.95,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,null,0.0,5.6,0
55.935590,-4.404097,0.50,0.60,0.51,0.29,0.50,0.50,0.51,0.29,111,2021-04-11 15:22:15.528,2021-04-11 16:22:15.528,13,0,0,16.553,55.935588,-4.404099,0.00,0.10,-0.50,-1.20,-2.40,-43.60,0,1,0,99,100,-4560,3564,16553,2880.50,0,TakeOff,1,0,0,0,0,0,0,1618154535528,4316,4310,4322,4311,0,0,27,,,,,,,0,0,0,12.00,-24.00,-436.00,0.00,0.00,-436.00,11,5.00,5.10,2.90,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.5,0
55.935590,-4.404097,0.60,0.70,0.51,0.31,0.60,0.60,0.51,0.31,198,2021-04-11 15:22:15.615,2021-04-11 16:22:15.615,13,0,0,16.553,55.935588,-4.404099,0.00,0.10,-0.50,-1.40,-2.50,-43.60,0,1,0,99,100,-4560,3564,16553,2880.50,0,TakeOff,1,0,0,0,0,0,0,1618154535615,4316,4310,4322,4311,0,0,27,,,,,,,0,0,0,14.00,-25.00,-436.00,0.00,0.00,-436.00,11,6.00,5.10,3.07,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,4.5,0
55.935590,-4.404097,0.60,0.70,0.51,0.31,0.60,0.60,0.51,0.31,301,2021-04-11 15:22:15.718,2021-04-11 16:22:15.718,13,0,0,16.553,55.935588,-4.404099,0.00,0.10,-0.50,-1.50,-2.50,-43.60,0,1,0,99,100,-4560,3564,16553,2880.50,0,TakeOff,1,0,0,0,0,0,0,1618154535718,4316,4310,4322,4311,0,0,27,,,,,,,0,0,0,15.00,-25.00,-436.00,0.00,0.00,-436.00,11,6.00,5.10,3.06,0.00,1.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.7,0
55.935590,-4.404097,0.70,0.80,0.50,0.32,0.70,0.70,0.51,0.32,400,2021-04-11 15:22:15.817,2021-04-11 16:22:15.817,13,0,0,16.277,55.935588,-4.404099,0.00,0.00,-0.50,-1.50,-2.50,-43.60,0,1,0,99,100,-6933,3562,16277,2880.50,0,TakeOff,1,0,0,0,0,0,0,1618154535817,4316,4310,4322,4311,0,0,27,,,,,,,0,0,0,15.00,-25.00,-436.00,0.00,0.00,-436.00,11,7.00,5.00,3.20,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.7,0
55.935590,-4.404097,0.70,0.80,0.50,0.30,0.70,0.70,0.51,0.32,498,2021-04-11 15:22:15.916,2021-04-11 16:22:15.915,13,0,0,16.277,55.935588,-4.404099,0.00,0.00,-0.50,-1.50,-2.40,-43.60,0,1,0,99,100,-6933,3562,16277,2880.50,0,TakeOff,1,0,0,0,0,0,0,1618154535915,4316,4310,4322,4311,0,0,27,,,,,,,0,0,0,15.00,-24.00,-436.00,0.00,0.00,-436.00,11,7.00,5.00,3.05,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.7,0
55.935590,-4.404097,0.80,0.90,0.50,0.31,0.80,0.80,0.51,0.32,610,2021-04-11 15:22:16.027,2021-04-11 16:22:16.027,13,0,0,16.277,55.935588,-4.404099,0.00,0.00,-0.50,-1.60,-2.10,-43.60,0,1,0,99,100,-6933,3562,16277,2880.50,0,TakeOff,1,0,0,0,0,0,0,1618154536027,4316,4310,4322,4311,0,0,27,,,,,,,0,0,0,16.00,-21.00,-436.00,0.00,0.00,-436.00,11,8.00,5.00,3.12,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.7,0
55.935590,-4.404097,0.80,0.90,0.50,0.31,0.80,0.80,0.51,0.32,718,2021-04-11 15:22:16.135,2021-04-11 16:22:16.135,13,0,0,16.277,55.935588,-4.404099,0.00,0.00,-0.50,-1.60,-1.90,-43.60,0,1,0,99,100,-6933,3562,16277,2880.50,0,TakeOff,1,0,0,0,0,0,0,1618154536135,4316,4310,4322,4311,0,0,27,,,,,,,0,0,0,16.00,-19.00,-436.00,0.00,0.00,-436.00,11,8.00,5.00,3.14,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.7,0
55.935590,-4.404097,0.90,1.10,0.50,0.33,0.90,0.90,0.51,0.33,989,2021-04-11 15:22:16.406,2021-04-11 16:22:16.406,13,0,0,16.277,55.935588,-4.404099,0.00,0.00,-0.50,-1.50,-1.70,-43.70,0,1,0,99,100,-6933,3562,16277,2880.50,0,TakeOff,1,0,0,0,16,-69,0,1618154536406,4316,4310,4322,4311,0,0,27,,,,,,,0,0,0,15.00,-17.00,-437.00,0.00,0.00,-436.00,11,9.00,5.00,3.31,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.7,0
55.935590,-4.404096,1.00,1.10,0.50,0.34,1.00,1.00,0.51,0.34,1000,2021-04-11 15:22:16.417,2021-04-11 16:22:16.417,13,0,0,16.277,55.935588,-4.404099,0.00,0.00,-0.50,-1.50,-1.80,-44.30,0,1,0,99,100,-6933,3562,16277,2880.50,0,P-GPS,1,0,0,0,0,0,0,1618154536417,4316,4310,4322,4311,0,0,27,,,,,,,0,0,0,15.00,-18.00,-443.00,0.00,0.00,-437.00,6,10.00,5.00,3.37,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,2,0,,,,,0.0,5.7,0
